,date,price,currency_name
133,2012-07-05,78.8489990234375,CAD
134,2012-07-06,78.69999694824219,CAD
135,2012-07-09,77.94300079345703,CAD
136,2012-07-10,78.01899719238281,CAD
137,2012-07-11,77.60700225830078,CAD
138,2012-07-12,78.06900024414062,CAD
139,2012-07-13,77.73999786376953,CAD
140,2012-07-16,78.05000305175781,CAD
141,2012-07-17,77.62999725341797,CAD
142,2012-07-18,78.12999725341797,CAD
143,2012-07-19,77.9800033569336,CAD
144,2012-07-20,78.12999725341797,CAD
145,2012-07-23,77.33999633789062,CAD
146,2012-07-24,76.88999938964844,CAD
147,2012-07-25,76.37999725341797,CAD
148,2012-07-26,76.86000061035156,CAD
149,2012-07-27,77.54000091552734,CAD
150,2012-07-30,78.12999725341797,CAD
151,2012-07-31,77.97000122070312,CAD
152,2012-08-01,77.8499984741211,CAD
153,2012-08-02,77.9800033569336,CAD
154,2012-08-03,77.63500213623047,CAD
155,2012-08-06,78.55799865722656,CAD
156,2012-08-07,78.12000274658203,CAD
157,2012-08-08,78.79000091552734,CAD
158,2012-08-09,78.7699966430664,CAD
159,2012-08-10,79.26200103759766,CAD
160,2012-08-13,78.9010009765625,CAD
161,2012-08-14,78.87999725341797,CAD
162,2012-08-15,79.43499755859375,CAD
163,2012-08-16,79.80999755859375,CAD
164,2012-08-17,80.31999969482422,CAD
165,2012-08-20,80.41000366210938,CAD
166,2012-08-21,80.2300033569336,CAD
167,2012-08-22,80.0199966430664,CAD
168,2012-08-23,79.25499725341797,CAD
169,2012-08-24,79.06500244140625,CAD
170,2012-08-27,79.3270034790039,CAD
171,2012-08-28,79.5,CAD
172,2012-08-29,79.51000213623047,CAD
173,2012-08-30,79.51699829101562,CAD
174,2012-08-31,79.08999633789062,CAD
175,2012-09-03,79.36399841308594,CAD
176,2012-09-04,79.41999816894531,CAD
177,2012-09-05,79.5199966430664,CAD
178,2012-09-06,79.13999938964844,CAD
179,2012-09-07,80.25499725341797,CAD
180,2012-09-10,79.947998046875,CAD
181,2012-09-11,80.05400085449219,CAD
182,2012-09-12,79.86000061035156,CAD
183,2012-09-13,79.69599914550781,CAD
184,2012-09-14,80.1500015258789,CAD
185,2012-09-17,80.572998046875,CAD
186,2012-09-18,80.69000244140625,CAD
187,2012-09-19,80.7699966430664,CAD
188,2012-09-20,80.36000061035156,CAD
189,2012-09-21,80.09300231933594,CAD
190,2012-09-24,79.88999938964844,CAD
191,2012-09-25,79.56999969482422,CAD
192,2012-09-26,79.21299743652344,CAD
193,2012-09-27,78.91999816894531,CAD
194,2012-09-28,79.12000274658203,CAD
195,2012-10-01,79.17900085449219,CAD
196,2012-10-02,79.44000244140625,CAD
197,2012-10-03,79.40899658203125,CAD
198,2012-10-04,79.46900177001953,CAD
199,2012-10-05,80.01399993896484,CAD
200,2012-10-08,80.5199966430664,CAD
201,2012-10-09,80.1709976196289,CAD
202,2012-10-10,79.84200286865234,CAD
203,2012-10-11,79.43900299072266,CAD
204,2012-10-12,80.0739974975586,CAD
205,2012-10-15,80.00800323486328,CAD
206,2012-10-16,80.24800109863281,CAD
207,2012-10-17,79.94999694824219,CAD
208,2012-10-18,80.78199768066406,CAD
209,2012-10-19,80.4489974975586,CAD
210,2012-10-22,79.6989974975586,CAD
211,2012-10-23,80.59100341796875,CAD
212,2012-10-24,80.37999725341797,CAD
213,2012-10-25,80.27999877929688,CAD
214,2012-10-26,80.62999725341797,CAD
215,2012-10-29,79.68000030517578,CAD
216,2012-10-30,79.66999816894531,CAD
217,2012-10-31,79.69200134277344,CAD
218,2012-11-01,79.8499984741211,CAD
219,2012-11-02,80.4739990234375,CAD
220,2012-11-05,80.81999969482422,CAD
221,2012-11-06,80.46099853515625,CAD
222,2012-11-07,80.91999816894531,CAD
223,2012-11-08,80.23999786376953,CAD
224,2012-11-09,79.4520034790039,CAD
225,2012-11-12,79.43000030517578,CAD
226,2012-11-13,79.59600067138672,CAD
227,2012-11-14,79.30000305175781,CAD
228,2012-11-15,79.88099670410156,CAD
229,2012-11-16,81.05000305175781,CAD
230,2012-11-19,81.48400115966797,CAD
231,2012-11-20,81.57499694824219,CAD
232,2012-11-21,82.0199966430664,CAD
233,2012-11-22,82.87699890136719,CAD
234,2012-11-23,82.54000091552734,CAD
235,2012-11-26,83.06099700927734,CAD
236,2012-11-27,82.46099853515625,CAD
237,2012-11-28,82.54499816894531,CAD
238,2012-11-29,82.8030014038086,CAD
239,2012-11-30,82.697998046875,CAD
240,2012-12-03,82.9530029296875,CAD
241,2012-12-05,82.36000061035156,CAD
242,2012-12-06,83.06999969482422,CAD
243,2012-12-07,83.12300109863281,CAD
244,2012-12-10,83.61799621582031,CAD
245,2012-12-11,83.45099639892578,CAD
246,2012-12-12,83.66300201416016,CAD
247,2012-12-13,84.4800033569336,CAD
248,2012-12-14,84.97000122070312,CAD
249,2012-12-17,85.36799621582031,CAD
250,2012-12-18,85.26300048828125,CAD
251,2012-12-19,85.50700378417969,CAD
252,2012-12-20,85.15399932861328,CAD
253,2012-12-21,85.44999694824219,CAD
254,2012-12-24,84.94999694824219,CAD
255,2012-12-25,85.43000030517578,CAD
256,2012-12-26,85.7300033569336,CAD
257,2012-12-27,86.18000030517578,CAD
258,2012-12-28,86.92900085449219,CAD
259,2012-12-31,86.4000015258789,CAD
260,2013-01-01,86.6500015258789,CAD
261,2013-01-02,87.09700012207031,CAD
262,2013-01-03,88.51000213623047,CAD
263,2013-01-04,88.74299621582031,CAD
264,2013-01-07,89.42400360107422,CAD
265,2013-01-08,88.5,CAD
266,2013-01-09,88.05599975585938,CAD
267,2013-01-10,89.21299743652344,CAD
268,2013-01-11,90.75,CAD
269,2013-01-14,90.91999816894531,CAD
270,2013-01-15,90.93299865722656,CAD
271,2013-01-16,90.19599914550781,CAD
