,date,price,currency_name
0,2012-01-02,77.0199966430664,USD
1,2012-01-03,76.93000030517578,USD
2,2012-01-04,76.72200012207031,USD
3,2012-01-05,76.70999908447266,USD
4,2012-01-06,77.1510009765625,USD
5,2012-01-09,76.91000366210938,USD
6,2012-01-10,76.86000061035156,USD
7,2012-01-11,76.8499984741211,USD
8,2012-01-12,76.85800170898438,USD
9,2012-01-13,76.77899932861328,USD
10,2012-01-16,76.91000366210938,USD
11,2012-01-17,76.81999969482422,USD
12,2012-01-18,76.81999969482422,USD
13,2012-01-19,76.76699829101562,USD
14,2012-01-20,77.08000183105469,USD
15,2012-01-23,76.95999908447266,USD
16,2012-01-24,77.0,USD
17,2012-01-25,77.68699645996094,USD
18,2012-01-26,77.7699966430664,USD
19,2012-01-27,77.45999908447266,USD
20,2012-01-30,76.73200225830078,USD
21,2012-01-31,76.36000061035156,USD
22,2012-02-01,76.2699966430664,USD
23,2012-02-02,76.18900299072266,USD
24,2012-02-03,76.18000030517578,USD
25,2012-02-06,76.5510025024414,USD
26,2012-02-07,76.55000305175781,USD
27,2012-02-08,76.79000091552734,USD
28,2012-02-09,77.05999755859375,USD
29,2012-02-10,77.63200378417969,USD
30,2012-02-13,77.69999694824219,USD
31,2012-02-14,77.51000213623047,USD
32,2012-02-15,78.36000061035156,USD
33,2012-02-16,78.4800033569336,USD
34,2012-02-17,78.8239974975586,USD
35,2012-02-20,79.78800201416016,USD
36,2012-02-21,79.58599853515625,USD
37,2012-02-22,79.83000183105469,USD
38,2012-02-23,80.27999877929688,USD
39,2012-02-24,79.93000030517578,USD
40,2012-02-27,81.47100067138672,USD
41,2012-02-28,80.46399688720703,USD
42,2012-02-29,80.4800033569336,USD
43,2012-03-01,81.2760009765625,USD
44,2012-03-02,81.12000274658203,USD
45,2012-03-05,81.62699890136719,USD
46,2012-03-06,81.51799774169922,USD
47,2012-03-07,80.66000366210938,USD
48,2012-03-08,81.33799743652344,USD
49,2012-03-09,81.58000183105469,USD
50,2012-03-12,82.37300109863281,USD
51,2012-03-13,82.36299896240234,USD
52,2012-03-14,82.95999908447266,USD
53,2012-03-15,83.83999633789062,USD
54,2012-03-16,83.49199676513672,USD
55,2012-03-19,83.44999694824219,USD
56,2012-03-20,83.37000274658203,USD
57,2012-03-21,83.6500015258789,USD
58,2012-03-22,83.2030029296875,USD
59,2012-03-23,82.51000213623047,USD
60,2012-03-26,82.58899688720703,USD
61,2012-03-27,82.98699951171875,USD
62,2012-03-28,83.0479965209961,USD
63,2012-03-29,82.83200073242188,USD
64,2012-03-30,82.27300262451172,USD
65,2012-04-02,82.87000274658203,USD
66,2012-04-03,81.54000091552734,USD
67,2012-04-04,82.83000183105469,USD
68,2012-04-05,82.44000244140625,USD
69,2012-04-06,82.2699966430664,USD
70,2012-04-09,81.33000183105469,USD
71,2012-04-10,81.64299774169922,USD
72,2012-04-11,80.69400024414062,USD
73,2012-04-12,81.00800323486328,USD
74,2012-04-13,80.93000030517578,USD
75,2012-04-16,80.9020004272461,USD
76,2012-04-17,80.38099670410156,USD
77,2012-04-18,81.05999755859375,USD
78,2012-04-19,81.30000305175781,USD
79,2012-04-20,81.60900115966797,USD
80,2012-04-23,81.5999984741211,USD
81,2012-04-24,81.08000183105469,USD
82,2012-04-25,81.38999938964844,USD
83,2012-04-26,81.30000305175781,USD
84,2012-04-27,81.05799865722656,USD
85,2012-04-30,80.3499984741211,USD
86,2012-05-01,79.9209976196289,USD
87,2012-05-02,80.20999908447266,USD
88,2012-05-03,80.12100219726562,USD
89,2012-05-04,80.20999908447266,USD
90,2012-05-07,79.81800079345703,USD
91,2012-05-08,79.91999816894531,USD
92,2012-05-09,79.86000061035156,USD
93,2012-05-10,79.70999908447266,USD
94,2012-05-11,79.86900329589844,USD
95,2012-05-14,80.02999877929688,USD
96,2012-05-15,79.8499984741211,USD
97,2012-05-16,80.32499694824219,USD
98,2012-05-17,80.3499984741211,USD
99,2012-05-18,79.40799713134766,USD
100,2012-05-21,79.16999816894531,USD
101,2012-05-22,79.41000366210938,USD
102,2012-05-23,80.00399780273438,USD
103,2012-05-24,79.41999816894531,USD
104,2012-05-25,79.66000366210938,USD
105,2012-05-28,79.58999633789062,USD
106,2012-05-29,79.56099700927734,USD
107,2012-05-30,79.5,USD
108,2012-05-31,78.98200225830078,USD
109,2012-06-01,78.52799987792969,USD
110,2012-06-04,78.0999984741211,USD
111,2012-06-05,78.36100006103516,USD
112,2012-06-06,78.7300033569336,USD
113,2012-06-07,79.2699966430664,USD
114,2012-06-08,79.69000244140625,USD
115,2012-06-11,79.55999755859375,USD
116,2012-06-12,79.30699920654297,USD
117,2012-06-13,79.5270004272461,USD
118,2012-06-14,79.37200164794922,USD
119,2012-06-15,79.4219970703125,USD
120,2012-06-18,79.052001953125,USD
121,2012-06-19,79.0,USD
122,2012-06-20,79.03399658203125,USD
123,2012-06-21,79.4209976196289,USD
124,2012-06-22,80.0199966430664,USD
125,2012-06-25,80.55999755859375,USD
126,2012-06-26,79.6500015258789,USD
127,2012-06-27,79.45999908447266,USD
128,2012-06-28,79.68499755859375,USD
129,2012-06-29,79.31300354003906,USD
130,2012-07-02,79.83899688720703,USD
131,2012-07-03,79.44000244140625,USD
132,2012-07-04,79.83999633789062,USD
133,2012-07-05,79.94000244140625,USD
134,2012-07-06,79.86000061035156,USD
135,2012-07-09,79.47799682617188,USD
136,2012-07-10,79.55799865722656,USD
137,2012-07-11,79.3499984741211,USD
138,2012-07-12,79.61000061035156,USD
139,2012-07-13,79.30999755859375,USD
